"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","Mid East","Euro Million","353"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","Midlands","Euro Million","85"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","Ireland","Euro Million","15349"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","Border","Euro Million","748"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","West","Euro Million","1042"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","Mid West","Euro Million","684"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","South East","Euro Million","830"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","South West","Euro Million","1975"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","Dublin","Euro Million","8596"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","Mid East","Euro Million","1048"
"Total Cost of Services Sourced in Ireland","2021","All Enterprise ownership","Midlands","Euro Million","426"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","Ireland","Euro Million","6034"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","Border","Euro Million","469"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","West","Euro Million","336"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","Mid West","Euro Million","314"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","South East","Euro Million","545"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","South West","Euro Million","738"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","Dublin","Euro Million","2609"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","Mid East","Euro Million","688"
"Total Cost of Services Sourced in Ireland","2021","Irish ownership","Midlands","Euro Million","335"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","Ireland","Euro Million","9316"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","Border","Euro Million","279"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","West","Euro Million","707"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","Mid West","Euro Million","370"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","South East","Euro Million","285"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","South West","Euro Million","1237"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","Dublin","Euro Million","5987"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","Mid East","Euro Million","360"
"Total Cost of Services Sourced in Ireland","2021","Foreign ownership","Midlands","Euro Million","91"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","Ireland","Euro Million","18590"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","Border","Euro Million","956"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","West","Euro Million","1117"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","Mid West","Euro Million","830"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","South East","Euro Million","1034"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","South West","Euro Million","2686"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","Dublin","Euro Million","10126"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","Mid East","Euro Million","1277"
"Total Cost of Services Sourced in Ireland","2022","All Enterprise ownership","Midlands","Euro Million","564"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","Ireland","Euro Million","7382"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","Border","Euro Million","621"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","West","Euro Million","353"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","Mid West","Euro Million","358"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","South East","Euro Million","728"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","South West","Euro Million","913"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","Dublin","Euro Million","3139"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","Mid East","Euro Million","830"
"Total Cost of Services Sourced in Ireland","2022","Irish ownership","Midlands","Euro Million","439"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","Ireland","Euro Million","11208"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","Border","Euro Million","335"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","West","Euro Million","764"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","Mid West","Euro Million","472"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","South East","Euro Million","306"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","South West","Euro Million","1773"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","Dublin","Euro Million","6986"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","Mid East","Euro Million","447"
"Total Cost of Services Sourced in Ireland","2022","Foreign ownership","Midlands","Euro Million","125"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","Ireland","Euro Million","19712"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","Border","Euro Million","1052"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","West","Euro Million","1263"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","Mid West","Euro Million","770"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","South East","Euro Million","1027"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","South West","Euro Million","2975"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","Dublin","Euro Million","10668"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","Mid East","Euro Million","1373"
"Total Cost of Services Sourced in Ireland","2023","All Enterprise ownership","Midlands","Euro Million","584"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","Ireland","Euro Million","7904"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","Border","Euro Million","644"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","West","Euro Million","387"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","Mid West","Euro Million","382"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","South East","Euro Million","710"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","South West","Euro Million","916"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","Dublin","Euro Million","3541"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","Mid East","Euro Million","873"
"Total Cost of Services Sourced in Ireland","2023","Irish ownership","Midlands","Euro Million","452"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","Ireland","Euro Million","11808"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","Border","Euro Million","408"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","West","Euro Million","877"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","Mid West","Euro Million","388"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","South East","Euro Million","317"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","South West","Euro Million","2059"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","Dublin","Euro Million","7128"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","Mid East","Euro Million","500"
"Total Cost of Services Sourced in Ireland","2023","Foreign ownership","Midlands","Euro Million","132"
"Total Cost of Royalties","2000","All Enterprise ownership","Ireland","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","Border","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","West","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","Mid West","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","South East","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","South West","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","Dublin","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","Mid East","Euro Million",""
"Total Cost of Royalties","2000","All Enterprise ownership","Midlands","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","Ireland","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","Border","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","West","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","Mid West","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","South East","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","South West","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","Dublin","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","Mid East","Euro Million",""
"Total Cost of Royalties","2000","Irish ownership","Midlands","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","Ireland","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","Border","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","West","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","Mid West","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","South East","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","South West","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","Dublin","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","Mid East","Euro Million",""
"Total Cost of Royalties","2000","Foreign ownership","Midlands","Euro Million",""
"Total Cost of Royalties","2001","All Enterprise ownership","Ireland","Euro Million",""
"Total Cost of Royalties","2001","All Enterprise ownership","Border","Euro Million",""
"Total Cost of Royalties","2001","All Enterprise ownership","West","Euro Million",""
